日期,预报时刻,预报1小时,预报2小时,预报3小时,预报4小时,预报5小时,预报6小时,预报7小时,预报8小时,预报9小时,预报10小时,预报11小时,预报12小时,预报13小时,预报14小时,预报15小时,预报16小时,预报17小时,预报18小时,预报19小时,预报20小时,预报21小时,预报22小时,预报23小时,预报24小时
2025-1-1,0:00,0.0,0.0,0.0,0.0,0.0,0.0,3.1173,1603.3305,3409.0929,4871.2875,5785.111,5737.1717,6047.3964,4687.1165,3572.6529,1629.9964,3.1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-1,6:00,3.0919,1588.7839,3297.9893,4692.2274,5220.3894,5078.6992,5314.2003,4833.7142,3588.0375,1660.0369,3.0359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-1,12:00,5330.4298,4549.2579,3365.5312,1504.2156,2.8622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8708,1827.9739,3207.1033,4565.1144,6040.8,6339.1125
2025-1-1,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5153,1227.5446,2350.4812,3845.2786,4815.3247,4086.8116,4228.7374,3799.2978,2472.4285,1182.0118,5.091,0.0
2025-1-2,0:00,0.0,0.0,0.0,0.0,0.0,0.0,6.3604,1424.7328,2844.2052,3600.2106,4746.2786,4915.505,5251.6498,4965.3525,3588.0375,1839.6,8.0706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-2,6:00,6.5122,1453.1843,3099.4257,4269.3966,5146.0167,5556.849,5946.4073,5359.9875,3342.8554,1758.32,6.5192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-2,12:00,5392.7373,4793.417,3115.7896,1653.8059,6.4763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4514,1377.1773,3653.775,4903.35,5017.1291,6339.1125
2025-1-2,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5321,1513.0067,2860.0466,3793.6223,4445.8828,4246.4353,4365.3181,4051.699,2758.4743,1424.3298,11.2687,0.0
2025-1-3,0:00,0.0,0.0,0.0,0.0,0.0,0.0,9.2912,1514.0314,3078.4182,4510.5495,5403.0295,6228.0795,5051.5846,5134.1073,3661.5375,1457.3727,10.9081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-3,6:00,10.1517,1543.8265,3340.5575,4903.35,5614.4735,6339.1125,5537.59,4719.9642,3200.0998,1337.2871,10.2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-3,12:00,5352.8521,4911.3123,3255.4369,1521.1799,10.2119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7537,1081.4534,2125.6273,3000.3625,3974.1294,5987.1209
2025-1-3,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7298,1213.2499,2507.0925,3502.5119,5074.2101,6321.2807,4741.4501,3809.1464,3157.01,1275.4294,10.5949,0.0
2025-1-4,0:00,0.0,0.0,0.0,0.0,0.0,0.0,16.3286,1721.9148,3653.775,4903.35,6040.8,6339.1125,6134.9039,4720.5012,2820.1758,1364.0018,11.6166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-4,6:00,15.1787,1546.9471,3178.9721,4226.7413,5399.7799,6339.1125,5886.5064,5024.0453,3643.9998,1620.9771,13.7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-4,12:00,5586.926,4966.0167,3376.2331,1555.6215,14.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3473,1545.2699,3653.775,4953.1875,6040.8,6597.6375
2025-1-4,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0462,1311.1882,3094.4689,3989.2148,4335.2225,5714.2002,6200.025,5359.9875,3661.5375,1880.0625,26.6886,0.0
2025-1-5,0:00,0.0,0.0,0.0,0.0,0.0,0.0,16.9052,1655.0272,3653.775,4866.0553,5301.0764,6381.155,5495.4459,4480.8732,3644.3571,1688.3847,20.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-5,6:00,16.1989,1532.6257,3344.4775,4829.1293,5337.5946,6032.7656,5494.4364,4369.4286,3435.7918,1657.493,19.8569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-5,12:00,5891.6875,4720.1907,3258.0582,1629.2517,18.4124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7597,1256.0138,2753.4326,4021.1688,4188.6466,4188.8436
2025-1-5,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4791,1534.6732,2349.2057,3173.248,4014.5266,4229.0182,4546.5704,4961.708,3762.3,1875.0063,29.0992,0.0
2025-1-6,0:00,0.0,0.0,0.0,0.0,0.0,0.0,23.6378,1507.2524,3097.9352,4735.7858,5352.1719,5912.0824,6055.461,4977.9359,3150.0692,1349.6412,19.9711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-1-6,6:00,22.4689,1480.905,3021.0544,4432.1021,5097.5677,6105.638,6179.2848,5239.0912,3711.8414,1880.0625,28.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
