date,interval_index,plan_purchase_kwh,actual_extracted_kwh,actual_charge_kwh,actual_discharge_kwh,actual_soc_start_kwh,actual_soc_end_kwh,emergency_purchase_kwh,curtailment_kwh
2025-02-01,1,482.5025660350061,422.0303666666667,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,2,473.00893775216986,415.4073166666667,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,3,459.11896067142703,410.7166666666667,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,4,474.440586682462,430.29479999999995,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,5,484.3622276562683,424.4105833333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,6,498.5068170557238,406.0516666666666,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,7,507.68907764086134,436.7501833333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,8,469.6537478104926,451.7976833333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,9,488.9358189839266,446.08,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,10,512.964408932254,471.7663333333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,11,533.2740218928163,448.02596666666665,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,12,493.94404368578205,397.4033333333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,13,523.5214626066962,434.0906333333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,14,541.2037417342301,490.5609166666666,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,15,513.9482075988601,503.22,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,16,489.1304448746056,474.07281666666665,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,17,522.4945543348151,461.38439999999997,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,18,557.3937753160072,476.94166666666666,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,19,540.2651962135964,483.39955,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,20,521.5340121127979,486.6019166666666,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,21,543.7436846581838,498.84833333333336,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,22,550.3124651175415,518.3097333333333,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,23,533.9332803246654,509.13346666666666,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,24,557.2776289779113,483.6166666666666,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,25,564.7057846665808,491.1868,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,26,556.227946545327,504.64528333333334,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,27,564.0089222835932,505.57833333333326,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,28,569.9935345850631,503.23096666666663,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,29,598.0383240038803,502.84698333333336,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.00023333333333333333
2025-02-01,30,570.1650240038804,499.64166666666665,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,31,566.5762204618325,488.78358333333335,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,32,597.4819070753407,498.51875,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0033166666666666665
2025-02-01,33,598.5066385275263,529.2233333333334,0.0,0.0,6284.590737104067,6284.590737104067,0.0,0.0
2025-02-01,34,1425.323261906156,1380.74365,833.3333333333334,0.0,6284.590737104067,7034.590737104067,0.0,0.0
2025-02-01,35,273.67336666666665,207.70142627290357,0.0,323.4797403937631,7034.590737104067,6675.168803333218,0.0,0.0
2025-02-01,36,374.83377652087654,322.4738938415446,0.0,188.50943949178873,6675.168803333218,6465.713870564564,0.0,0.0
2025-02-01,37,385.14424999999994,347.68329847814937,0.0,187.50388485518386,6465.713870564564,6257.37622072547,0.0,0.0
2025-02-01,38,346.07141666666666,306.404840630113,0.0,226.95049270322033,6257.37622072547,6005.209006610781,0.0,0.0
2025-02-01,39,394.62,315.9350927361685,0.0,188.5849072638315,6005.209006610781,5795.670220762079,0.0,0.0
2025-02-01,40,377.62812500000007,331.02444847814957,0.0,188.52923485518374,5795.670220762079,5586.193293145208,0.0,0.0
2025-02-01,41,332.39952437213014,281.9533539907207,0.0,269.5267293426126,5586.193293145208,5286.719149431195,0.0,0.0
2025-02-01,42,239.28288697761457,191.57961806675007,0.0,360.46204859991656,5286.719149431195,4886.205762097954,0.0,0.0
2025-02-01,43,177.95561885005839,159.20911498817037,0.0,355.34893501182955,4886.205762097954,4491.37361208481,0.0,0.0
2025-02-01,44,151.60293817228552,108.34825421546333,0.0,339.5602957845366,4491.37361208481,4114.084394546436,0.0,0.0
2025-02-01,45,139.18059223660907,20.86584872366177,0.0,368.5583179430049,4114.084394546436,3704.5751523875415,0.0,0.0
2025-02-01,46,25.373238936244547,0.0,0.0,404.35222314951807,3704.5751523875415,3255.2949044436327,2.8989708580236057e-07,26.698473439415153
2025-02-01,47,104.87962858156266,85.56682839313532,0.0,275.59452160686465,3255.2949044436327,2949.078769324894,0.0,0.0
