date,interval_index,interval_start_min,interval_end_min,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,zero_plan_kwh,final_plan_kwh,charge_kwh,discharge_kwh,used_plan_kwh,emergency_kwh,pv_used_kwh,curtail_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,balance_residual_kwh,market_cost_yuan,emergency_cost_yuan,alternative_market_cost_yuan
2025-02-01,0,0,10,0.4248,422.0303666666667,0.0,1301.9068286858958,1301.9068286858958,833.3333333333334,0.0,1255.3637,0.0,0.0,0.0,0.0,6000.0,6750.0,1.1368683772161603e-13,553.0500208257686,0.0,553.0500208257686
2025-02-01,1,10,20,0.4245,415.4073166666667,0.0,1312.9405145750277,1312.9405145750277,833.3333333333334,0.0,1248.7406500000002,0.0,0.0,0.0,0.0,6750.0,7500.0,1.1368683772161603e-13,557.3432484370992,0.0,557.3432484370992
2025-02-01,2,20,30,0.4269,410.7166666666667,0.0,1300.8545336043312,1300.8545336043312,833.3333333333334,0.0,1244.0500000000002,0.0,0.0,0.0,0.0,7500.0,8250.0,1.1368683772161603e-13,555.334800395689,0.0,555.334800395689
2025-02-01,3,30,40,0.4272,430.29479999999995,0.0,1318.57713261253,1318.57713261253,833.3333333333334,0.0,1263.6281333333334,0.0,0.0,0.0,0.0,8250.0,9000.0,1.1368683772161603e-13,563.2961510520729,0.0,563.2961510520729
2025-02-01,4,40,50,0.4271,424.4105833333333,0.0,1334.1379120178153,1334.1379120178153,833.3333333333334,0.0,1257.7439166666668,0.0,0.0,0.0,0.0,9000.0,9750.0,1.1368683772161603e-13,569.8103022228089,0.0,569.8103022228089
2025-02-01,5,50,60,0.4285,406.0516666666667,0.0,512.0853041741659,512.0853041741659,0.0,0.0,406.0516666666667,0.0,0.0,0.0,0.0,9750.0,9750.0,0.0,219.42855283863008,0.0,219.42855283863008
2025-02-01,6,60,70,0.4311,436.7501833333333,0.0,503.0879304825773,503.0879304825773,0.0,0.0,436.7501833333333,0.0,0.0,0.0,0.0,9750.0,9750.0,0.0,216.88120683103907,0.0,216.88120683103907
2025-02-01,7,70,80,0.4302,451.7976833333333,0.0,501.4993181336609,501.4993181336609,0.0,0.0,451.7976833333333,0.0,0.0,0.0,0.0,9750.0,9750.0,0.0,215.74500666110094,0.0,215.74500666110092
2025-02-01,8,80,90,0.4279,446.08,0.0,820.9315822894689,820.9315822894689,333.3333333333333,0.0,779.4133333333333,0.0,0.0,0.0,0.0,9750.0,10050.0,0.0,351.27662406166377,0.0,351.27662406166377
2025-02-01,9,90,100,0.4312,471.7663333333333,0.0,528.4635325435894,528.4635325435894,0.0,0.0,471.7663333333333,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,227.87347523279578,0.0,227.87347523279576
2025-02-01,10,100,110,0.4333,448.02596666666665,0.0,529.7271476691787,529.7271476691787,0.0,0.0,448.02596666666665,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,229.5307730850552,0.0,229.53077308505516
2025-02-01,11,110,120,0.4311,397.40333333333336,0.0,533.280690060124,533.280690060124,0.0,0.0,397.40333333333336,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,229.89730548491946,0.0,229.89730548491946
