day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,residual_blocks,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,price_hat_mean,eq_residual,ub_violation,settlement_method
31,2025-02-01,6000.000000000022,21780.600826784215,26958.937918582982,20267.707175403302,499.02528493191596,20766.732460335217,0.0016928696341611468,0.09666246637856814,0.10678005081169072,0,30,129.17476664545734,76305.20628333333,41927.03035,37450.05991884369,4476.970431156299,4688.265342621203,1008.4063083154606,48501.40409474052,21467.162347156234,17388.401501196546,6000.000000000024,0.6514930555555556,0.7007316944534063,9.094947017729282e-13,3.637978807091713e-12,causal_sequential_exact_plan
32,2025-02-02,6000.000000000024,107377.14115248997,128091.15733356388,103314.35863454177,0.0,103314.35863454177,0.0,0.32070725851840803,0.13157551066189224,0,30,0.0,121705.97265,43349.69469999999,37645.93648281037,5703.758217189623,42719.93371573555,1215.0312500000007,133205.3846024302,27423.070892131735,22212.687422626703,6000.000000000024,0.8363881944444445,0.8964649837953369,2.2737367544323206e-13,2.9103830456733704e-11,causal_sequential_exact_plan
33,2025-02-03,6000.000000000024,68848.30457857945,150072.61204324494,66369.52613844385,55.018957513868514,66424.54509595771,0.00011048435192988898,0.06026290482557741,0.0508674353594408,0,30,13.545797962126812,122603.769,42386.85249999999,40230.742020366095,2156.1104796339014,5604.919058678331,325.04749662821416,93007.78107031164,24833.333333333336,20114.999999999996,6000.000000000027,0.8447902777777778,0.8035004292974193,8.640199666842818e-12,1.8917489796876907e-10,causal_sequential_exact_plan
34,2025-02-04,6000.000000000027,70841.29719469491,148867.30457599682,64641.281013343774,2949.9761078125707,67591.25712115635,0.0055802722150917975,0.04951262567738322,0.010140671810943679,0,30,678.438886976339,121578.09884999998,40383.2349,39973.72176821485,409.51313178514704,4484.534960031316,392.54097653108795,90573.56378657572,25108.15608002372,20337.606424819212,6000.000000000029,0.8491895833333333,0.8269642236878454,5.4569682106375694e-12,0.0,causal_sequential_exact_plan
35,2025-02-05,6000.000000000029,66991.37834231794,69355.83867952503,67179.61555939232,1268.6245718014784,68448.2401311938,0.0027155357948750376,0.0651945750351016,0.048557131986517094,0,30,331.2711564343397,121991.08443333334,41242.65745,39240.03228872563,2002.6251612743624,6101.610546500793,190.53851301135876,93590.7710605615,25678.11059408423,20799.26958120823,6000.000000000032,0.8482541666666665,0.8331533785474401,5.229594535194337e-12,1.4551915228366852e-11,causal_sequential_exact_plan
36,2025-02-06,6000.000000000032,64825.56248948497,68378.98331977571,64918.06950413821,995.1498445084942,65913.2193486467,0.00167497496539269,0.051782411734340034,0.030270496225707818,0,30,204.769311987614,122252.1627,41981.10548333333,40710.31658824905,1270.7888950842835,4720.717470236005,388.3684509407922,91164.49605427345,24833.333333333336,20115.000000000007,6000.000000000034,0.8439645833333334,0.8291488038775766,2.9558577807620168e-12,2.9103830456733704e-11,causal_sequential_exact_plan
37,2025-02-07,6000.000000000034,26745.46891595864,29407.73870386029,19358.81804370555,162.1851186047821,19521.00316231033,0.0004909014065302152,0.09100780852052902,0.11847887104312302,0,30,37.39127136800636,76168.59693333332,44362.91726666666,39106.84891273253,5256.068353934135,4159.642349882015,769.8864159069169,45706.43351931397,19750.25265416969,15997.704649877447,6000.000000000034,0.6440388888888888,0.8409538789311009,7.16227077646181e-12,7.275957614183426e-12,causal_sequential_exact_plan
38,2025-02-08,6000.000000000034,16285.132376832717,19698.038146688155,16754.12131042373,1577.0963320010744,18331.217642424803,0.006519827665158278,0.04010508889409371,0.06964766226640803,0,30,493.856000798029,75746.78751666666,44169.6248,41093.31368949564,3076.3111105043604,1618.8160493607945,536.8695266148995,40364.355098068314,21310.798398524355,17261.746702804732,6000.000000000033,0.642351388888889,0.6127186825228814,1.8189894035458565e-12,3.637978807091713e-12,causal_sequential_exact_plan
39,2025-02-09,6000.000000000033,58547.74441546928,62978.09437062034,61349.66484950608,3208.291119765757,64557.95596927184,0.0063212432341339065,0.031444418674732126,0.02940303856426082,0,30,768.3338630439522,121547.90356666666,41992.48759999999,40757.78086768795,1234.706732312044,2748.997245604112,93.2262381142333,87424.0123196531,24000.0,19440.0,6000.000000000035,0.8413840277777778,0.7917941809467725,4.888534022029489e-12,1.4551915228366852e-11,causal_sequential_exact_plan
40,2025-02-10,6000.000000000035,61357.9160487157,75999.01193635563,60005.9275417216,775.0472778082524,60780.97481952985,0.0019965402525304625,0.06557283171540347,0.061631164530839284,0,30,242.53484733689118,121477.56451666665,47150.92693333333,44244.96039772348,2905.9665356098476,5733.029273932282,284.5454842038972,87429.94810433904,23275.28460313991,18852.980528543325,6000.000000000039,0.8180638888888889,0.8093046748867305,4.547473508864641e-13,5.820766091346741e-11,causal_sequential_exact_plan
